iter	Passed	Remaining
0	135	135359
1	136	68093
2	137	45697
3	139	34794
4	140	28030
5	141	23501
6	142	20249
7	143	17833
8	144	15941
9	145	14429
10	146	13190
11	147	12170
12	148	11294
13	149	10545
14	150	9894
15	151	9324
16	152	8837
17	154	8420
18	155	8022
19	156	7655
20	157	7328
21	158	7031
22	159	6757
23	160	6509
24	161	6283
25	161	6068
26	162	5873
27	163	5690
28	164	5518
29	165	5360
30	166	5210
31	169	5114
32	170	4991
33	171	4871
34	172	4753
35	173	4654
36	175	4557
37	178	4510
38	179	4416
39	181	4353
40	183	4286
41	184	4208
42	186	4149
43	187	4073
44	188	4000
45	189	3929
46	190	3860
47	191	3794
48	192	3729
49	193	3670
50	194	3612
51	195	3555
52	195	3500
53	196	3447
54	199	3419
55	200	3373
56	201	3327
57	202	3281
58	203	3238
59	204	3196
60	204	3154
61	205	3115
62	206	3075
63	207	3038
64	208	3000
65	209	2965
66	210	2930
67	211	2897
68	213	2879
69	214	2848
70	215	2817
71	216	2787
72	217	2756
73	217	2727
74	218	2698
75	219	2669
76	220	2643
77	221	2617
78	222	2591
79	223	2568
80	224	2544
81	225	2522
82	226	2499
83	228	2488
84	229	2470
85	230	2448
86	231	2427
87	232	2405
88	232	2383
89	233	2365
90	234	2346
91	235	2327
92	236	2309
93	237	2291
94	238	2275
95	239	2257
96	240	2237
97	241	2218
98	243	2212
99	244	2198
100	245	2182
101	246	2166
102	247	2152
103	248	2137
104	248	2119
105	249	2105
106	250	2091
107	251	2077
108	252	2064
109	253	2051
110	254	2038
111	255	2025
112	256	2016
113	258	2006
114	259	1994
115	260	1981
116	260	1969
117	261	1957
118	262	1946
119	263	1934
120	264	1924
121	265	1913
122	266	1902
123	267	1892
124	268	1881
125	269	1871
126	271	1866
127	273	1859
128	274	1851
129	275	1840
130	275	1829
131	276	1820
132	277	1810
133	278	1800
134	279	1790
135	280	1781
136	281	1771
137	282	1763
138	283	1753
139	283	1744
140	284	1735
141	287	1735
142	288	1728
143	289	1720
144	290	1712
145	291	1702
146	292	1694
147	292	1686
148	293	1678
149	294	1670
150	295	1662
151	296	1654
152	297	1647
153	298	1639
154	299	1632
155	301	1628
156	302	1622
157	303	1616
158	304	1608
159	305	1601
160	305	1594
161	306	1587
162	307	1579
163	308	1572
164	309	1565
165	310	1558
166	310	1550
167	311	1544
168	312	1538
169	314	1533
170	317	1537
171	318	1531
172	318	1523
173	320	1519
174	321	1514
175	322	1508
176	323	1503
177	324	1498
178	325	1492
179	326	1486
180	327	1480
181	328	1475
182	329	1472
183	331	1468
184	332	1463
185	333	1458
186	334	1452
187	334	1446
188	335	1440
189	336	1435
190	337	1430
191	338	1425
192	339	1420
193	340	1415
194	341	1409
195	342	1403
196	343	1398
197	344	1397
198	346	1394
199	347	1389
200	348	1384
201	349	1380
202	350	1375
203	351	1370
204	352	1365
205	353	1360
206	354	1356
207	354	1351
208	355	1347
209	356	1342
210	357	1338
211	359	1337
212	361	1334
213	362	1330
214	363	1326
215	364	1322
216	365	1318
217	366	1314
218	367	1309
219	368	1304
220	368	1300
221	369	1296
222	371	1292
223	372	1288
224	373	1284
225	374	1284
226	375	1280
227	376	1275
228	377	1271
229	378	1267
230	379	1263
231	380	1259
232	381	1255
233	382	1251
234	383	1248
235	384	1244
236	385	1241
237	386	1236
238	387	1233
239	389	1233
240	390	1230
241	391	1226
242	392	1223
243	393	1219
244	394	1215
245	395	1211
246	396	1207
247	397	1204
248	398	1200
249	399	1197
250	400	1193
251	401	1190
252	402	1188
253	404	1187
254	405	1183
255	405	1179
256	406	1176
257	407	1172
258	408	1169
259	409	1165
260	410	1162
261	411	1159
262	412	1156
263	413	1152
264	414	1149
265	415	1146
266	416	1142
267	418	1142
268	419	1140
269	420	1137
270	421	1134
271	422	1130
272	423	1127
273	424	1124
274	425	1121
275	426	1118
276	427	1115
277	428	1112
278	429	1109
279	430	1106
280	431	1102
281	433	1103
282	434	1101
283	435	1098
284	436	1095
285	437	1092
286	438	1089
287	439	1086
288	440	1083
289	441	1080
290	442	1078
291	443	1075
292	444	1072
293	445	1069
294	446	1067
295	447	1065
296	449	1062
297	450	1060
298	450	1057
299	451	1054
300	452	1051
301	453	1048
302	454	1045
303	455	1043
304	456	1040
305	457	1037
306	458	1034
307	459	1032
308	460	1029
309	462	1029
310	463	1027
311	464	1024
312	465	1022
313	466	1019
314	467	1017
315	468	1014
316	469	1012
317	470	1009
318	471	1007
319	473	1005
320	473	1002
321	474	999
322	476	998
323	477	996
324	478	993
325	479	991
326	480	988
327	481	986
328	482	983
329	483	981
330	484	978
331	485	976
332	486	973
333	487	971
334	488	968
335	489	966
336	490	964
337	492	963
338	493	961
339	494	959
340	495	957
341	496	955
342	497	952
343	498	950
344	499	947
345	500	945
346	501	943
347	502	940
348	503	938
349	504	936
350	506	936
351	508	935
352	509	933
353	510	931
354	511	929
355	512	927
356	513	925
357	514	923
358	516	921
359	517	919
360	518	917
361	519	914
362	520	913
363	522	912
364	523	910
365	524	908
366	525	906
367	526	904
368	527	902
369	528	899
370	529	897
371	530	895
372	531	893
373	532	891
374	533	889
375	534	887
376	536	886
377	537	884
378	538	881
379	539	880
380	540	878
381	541	876
382	542	874
383	543	872
384	544	870
385	545	868
386	546	866
387	547	864
388	548	862
389	550	861
390	554	863
391	555	861
392	556	859
393	557	856
394	558	854
395	559	852
396	560	850
397	561	848
398	562	846
399	563	844
400	564	842
401	567	844
402	568	842
403	569	840
404	570	838
405	571	836
406	572	834
407	573	832
408	574	830
409	575	828
410	576	826
411	577	824
412	578	821
413	579	820
414	581	819
415	582	817
416	583	815
417	584	813
418	585	811
419	586	810
420	587	808
421	588	805
422	589	803
423	590	801
424	591	799
425	592	798
426	593	796
427	595	796
428	596	794
429	598	792
430	599	790
431	600	789
432	601	787
433	602	785
434	602	783
435	603	781
436	604	779
437	605	777
438	606	775
439	607	773
440	608	771
441	610	771
442	611	769
443	612	767
444	613	765
445	614	763
446	616	762
447	616	760
448	617	758
449	618	756
450	619	754
451	620	752
452	621	750
453	622	748
454	624	747
455	625	745
456	626	744
457	627	742
458	628	740
459	629	738
460	630	736
461	631	734
462	632	733
463	632	731
464	633	729
465	634	727
466	635	725
467	636	723
468	637	721
469	639	721
470	640	719
471	641	718
472	642	716
473	643	714
474	644	712
475	645	710
476	646	709
477	647	707
478	648	705
479	649	703
480	650	701
481	651	700
482	652	698
483	654	697
484	655	696
485	656	694
486	657	692
487	658	691
488	659	689
489	660	687
490	661	685
491	662	683
492	663	682
493	664	680
494	665	679
495	666	677
496	668	676
497	669	675
498	670	673
499	671	671
500	672	669
501	673	668
502	674	666
503	675	665
504	676	663
505	677	661
506	678	659
507	679	658
508	680	656
509	681	654
510	683	654
511	684	652
512	686	651
513	687	649
514	688	647
515	688	646
516	689	644
517	690	642
518	691	641
519	693	639
520	694	638
521	694	636
522	695	634
523	696	632
524	697	631
525	699	629
526	700	628
527	701	626
528	702	625
529	702	623
530	703	621
531	704	620
532	705	618
533	706	616
534	707	615
535	708	613
536	709	611
537	710	610
538	712	609
539	713	607
540	714	606
541	715	604
542	716	603
543	717	601
544	718	599
545	719	598
546	720	596
547	721	595
548	722	593
549	723	591
550	724	590
551	725	588
552	726	587
553	728	586
554	729	584
555	730	583
556	731	581
557	732	579
558	733	578
559	734	576
560	735	575
561	736	573
562	737	572
563	738	570
564	739	569
565	740	567
566	741	566
567	743	565
568	744	563
569	744	561
570	745	560
571	746	558
572	747	557
573	748	555
574	749	554
575	750	552
576	751	550
577	752	549
578	753	547
579	754	546
580	756	545
581	757	544
582	758	542
583	759	541
584	760	539
585	761	537
586	762	536
587	763	534
588	764	533
589	765	531
590	765	530
591	767	528
592	767	527
593	768	525
594	770	524
595	772	523
596	773	522
597	774	520
598	775	519
599	776	517
600	777	516
601	778	514
602	779	513
603	780	511
604	781	510
605	782	508
606	783	507
607	785	506
608	786	504
609	787	503
610	788	502
611	790	500
612	791	499
613	792	498
614	793	496
615	794	495
616	795	493
617	796	492
618	797	490
619	798	489
620	799	487
621	801	486
622	802	485
623	803	483
624	804	482
625	805	481
626	806	479
627	807	478
628	808	476
629	809	475
630	810	473
631	811	472
632	811	470
633	812	469
634	813	467
635	815	466
636	816	465
637	817	464
638	818	462
639	819	461
640	820	459
641	821	458
642	822	456
643	823	455
644	824	453
645	825	452
646	826	450
647	827	449
648	828	447
649	829	446
650	831	445
651	832	444
652	833	442
653	834	441
654	835	439
655	836	438
656	837	437
657	838	435
658	839	434
659	839	432
660	840	431
661	841	429
662	842	428
663	843	427
664	845	426
665	846	424
666	847	423
667	848	421
668	849	420
669	850	419
670	851	417
671	852	416
672	853	414
673	854	413
674	855	411
675	856	410
676	857	408
677	858	407
678	860	406
679	861	405
680	862	404
681	863	402
682	864	401
683	865	399
684	866	398
685	867	396
686	868	395
687	869	394
688	869	392
689	870	391
690	871	389
691	872	388
692	875	387
693	876	386
694	877	385
695	878	383
696	879	382
697	880	380
698	881	379
699	882	378
700	883	376
701	884	375
702	884	373
703	885	372
704	886	371
705	887	369
706	889	368
707	890	367
708	891	366
709	892	364
710	893	363
711	894	361
712	895	360
713	896	359
714	897	357
715	898	356
716	899	355
717	900	353
718	901	352
719	902	350
720	904	350
721	905	348
722	906	347
723	907	346
724	908	344
725	909	343
726	910	341
727	911	340
728	912	339
729	913	337
730	914	336
731	915	335
732	916	333
733	917	332
734	918	331
735	920	330
736	921	328
737	922	327
738	923	326
739	924	324
740	925	323
741	926	321
742	926	320
743	927	319
744	928	317
745	929	316
746	930	315
747	931	313
748	932	312
749	934	311
750	935	310
751	936	308
752	937	307
753	938	306
754	939	304
755	939	303
756	940	302
757	941	300
758	942	299
759	943	298
760	944	296
761	945	295
762	946	294
763	948	293
764	949	291
765	950	290
766	951	289
767	952	287
768	953	286
769	954	285
770	955	283
771	956	282
772	957	281
773	958	279
774	959	278
775	960	277
776	961	275
777	963	274
778	964	273
779	965	272
780	966	271
781	967	269
782	968	268
783	969	267
784	970	265
785	972	264
786	973	263
787	973	262
788	975	260
789	976	259
790	977	258
791	978	257
792	979	255
793	980	254
794	981	253
795	982	251
796	983	250
797	984	249
798	985	247
799	986	246
800	987	245
801	988	244
802	989	242
803	990	241
804	991	240
805	992	239
806	993	237
807	994	236
808	996	235
809	997	233
810	997	232
811	998	231
812	999	230
813	1000	228
814	1001	227
815	1002	226
816	1003	224
817	1004	223
818	1006	222
819	1007	221
820	1008	219
821	1009	218
822	1010	217
823	1011	216
824	1012	214
825	1013	213
826	1014	212
827	1015	210
828	1016	209
829	1017	208
830	1018	207
831	1019	205
832	1021	204
833	1022	203
834	1023	202
835	1024	200
836	1025	199
837	1026	198
838	1027	197
839	1028	195
840	1029	194
841	1030	193
842	1030	192
843	1031	190
844	1032	189
845	1033	188
846	1034	186
847	1036	185
848	1037	184
849	1038	183
850	1039	182
851	1040	180
852	1041	179
853	1042	178
854	1043	177
855	1044	175
856	1045	174
857	1046	173
858	1047	171
859	1048	170
860	1049	169
861	1051	168
862	1052	167
863	1053	165
864	1054	164
865	1055	163
866	1056	162
867	1057	160
868	1058	159
869	1058	158
